StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,commit,pid,attn1,dv_llm_usage,dv_use_moral,dv_use_moral_feed,dv_use_moral_desc,dv_use_personal,dv_use_personal_feed,dv_use_personal_desc,dv_use_con,dv_use_con_feed,dv_use_con_desc,race,educ,income,gender,gender_4_TEXT,age
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"We care about the quality of our survey data. For us to get the most accurate measures, it is important that you provide thoughtful answers to each question in this survey. Please consider questions thoughtfully. 

Do not rush or 'straight-line'. We see responses. 

Do you commit to providing thoughtful answers to the questions in this survey?",What is your prolific id?,"Write the number corresponding to ""twenty-five"" here.","Do you ever use artificial intelligence chatbots such as ChatGPT, Anthropic's Claude, Google Gemini, Grok, or an open source chatbot?","Have you ever used a chatbot to help you think through what's right or wrong? Examples include:


- Asking for advice on an ethical dilemma you're facing (like whether to report a coworker's mistake or how to handle a friend's request) 
- Getting help deciding if something is morally acceptable or the ""right thing to do""

- Discussing questions about fairness, honesty, or what you owe to others",[OPTIONAL BUT HELPFUL] Is this question clear? Why or why not?,[OPTIONAL BUT HELPFUL] Can you describe your usage? How did things work out?,"Have you ever used a chatbot for personal advice or to better understand yourself or your relationships? Examples include:


- Getting advice about relationships, dating, friendships, or family situations

- Asking for help understanding your own feelings, motivations, or personality

- Seeking guidance on personal decisions, life choices, or how to handle emotional situations",[OPTIONAL BUT HELPFUL] Is this question clear? Why or why not?,[OPTIONAL BUT HELPFUL] Can you describe your usage? How did things work out?,"Have you ever used a chatbot to understand what is socially acceptable or expected? Examples include:


- Checking whether something you're planning to say or do follows social norms or expectations

- Asking what the appropriate thing to do or say in a social situation (like how to behave at a wedding, job interview, or dinner party) 
- Getting advice on social etiquette or customs (like tipping practices, dress codes, or greeting customs)",[OPTIONAL BUT HELPFUL] Is this question clear? Why or why not?,[OPTIONAL BUT HELPFUL] Can you describe your usage? How did things work out?,Choose one or more races that you consider yourself to be.,What is the highest level of education you have completed?,What was your total household income before taxes during the past 12 months?,How do you describe yourself? - Selected Choice,How do you describe yourself? - Prefer to self-describe - Text,What is your age?
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1720279574""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID21""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""QID48_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30""}","{""ImportId"":""QID30_4_TEXT""}","{""ImportId"":""QID31""}"
2025-10-13 11:06:08,2025-10-13 11:07:08,IP Address,47.42.182.247,100,60,True,2025-10-13 11:07:08,R_3NXsGQg0v5pyXmK,,,,,42.2808,-122.9047,anonymous,EN,"Yes, I will",67195ce0322d3935df36e8be,25,Yes - several times a week,Yes - less often than several times a week,,,Yes - less often than several times a week,,,Yes - less often than several times a week,,,,,,,,
2025-10-13 11:06:05,2025-10-13 11:07:14,IP Address,68.199.1.85,100,68,True,2025-10-13 11:07:14,R_3gcNHkhW9VNwWD7,,,,,40.2825,-74.3424,anonymous,EN,"Yes, I will",673fd425abf60cdbd75ae360,25,Yes - several times a week,No - never used,,,No - never used,,,No - never used,"Yes it's clear, you provide good examples",,,,,,,
2025-10-13 11:06:22,2025-10-13 11:07:42,IP Address,174.194.193.31,100,79,True,2025-10-13 11:07:42,R_5mDA0LSV4GStzFT,,,,,37.7585,-122.1856,anonymous,EN,"Yes, I will",676f2ff678d74407b518207d,25,Yes - less often than several times a week,No - never used,,,No - never used,,,No - never used,,,,,,,,
2025-10-13 11:06:37,2025-10-13 11:07:50,IP Address,63.152.8.64,100,73,True,2025-10-13 11:07:51,R_6PZRvm0DBCwZ4cf,,,,,42.0401,-91.604,anonymous,EN,"Yes, I will",66d9d8108156d32cbe34ee6f,25,Yes - several times a week,No - never used,"Understandable. ",,No - never used,Yes.. I understand completely.,,No - never used,This is clear. I think I totally understand what the question is.,,,,,,,
2025-10-13 11:06:17,2025-10-13 11:08:02,IP Address,138.236.243.173,100,105,True,2025-10-13 11:08:03,R_6Fr0goQ6KCK86l3,,,,,44.3236,-93.958,anonymous,EN,"Yes, I will",66f8367b5310ebb97346b93c,25,Yes - about once a day,Yes - less often than several times a week,,,Yes - less often than several times a week,,,No - never used,yes,,,,,,,
2025-10-13 11:06:03,2025-10-13 11:08:05,IP Address,99.153.195.77,100,122,True,2025-10-13 11:08:06,R_5lxG7mrZRZdNvTH,,,,,38.7808,-90.6355,anonymous,EN,"Yes, I will",666c0088634cc2e1573b49ee,25,Yes - less often than several times a week,No - never used,,,No - never used,,I've only ever used chatbots to find information on practical tasks.,No - never used,,,,,,,,
2025-10-13 11:06:50,2025-10-13 11:08:29,IP Address,97.93.84.59,100,99,True,2025-10-13 11:08:29,R_3kNvbuurRLdEdbz,,,,,33.9258,-117.4899,anonymous,EN,"Yes, I will",66a96d2eb81f9cec83fb1bd3,25,Yes - several times a week,No - never used,yes,,No - never used,yes,,No - never used,yes,,,,,,,
2025-10-13 11:06:45,2025-10-13 11:08:31,IP Address,73.130.8.245,100,105,True,2025-10-13 11:08:31,R_6mrx1Y4froqcC1Q,,,,,40.2995,-76.5868,anonymous,EN,"Yes, I will",558fd02cfdf99b39cb035e5d,25,Yes - several times a day,No - never used,,,No - never used,"Clear enough, it's to the point",,No - never used,"Perfectly clear question but I'd never ask as it only knows what its programmed, which may or may not be useful",,,,,,,
2025-10-13 11:05:55,2025-10-13 11:08:31,IP Address,68.173.137.138,100,156,True,2025-10-13 11:08:32,R_3QWy8BQNygzBYlG,,,,,41.4535,-74.4774,anonymous,EN,"Yes, I will",603ecd847a63f50124aa5822,25,Yes - several times a week,No - never used,,,No - never used,,,No - never used,,,,,,,,
2025-10-13 11:06:56,2025-10-13 11:08:35,IP Address,75.203.5.97,100,99,True,2025-10-13 11:08:35,R_7oQYOxILW4gdPMd,,,,,40.7424,-74.0325,anonymous,EN,"Yes, I will",5a51ba7676d1c60001aaa660,25,Yes - several times a week,No - never used,,,No - never used,,,No - never used,,,,,,,,
2025-10-13 11:06:57,2025-10-13 11:08:43,IP Address,73.69.43.140,100,106,True,2025-10-13 11:08:44,R_12srGdNupuRjBFa,,,,,42.9827,-70.9472,anonymous,EN,"Yes, I will",5c560866f4a32a00014b5760,25,Yes - about once a day,No - never used,,,Yes - less often than several times a week,,,No - never used,,,,,,,,
2025-10-13 11:06:33,2025-10-13 11:08:46,IP Address,50.25.9.216,100,132,True,2025-10-13 11:08:46,R_62VHxWVQXN77klY,,,,,38.994,-80.232,anonymous,EN,"Yes, I will",5dd5e27fe25acf59990e1adf,25,Yes - about once a day,No - never used,I haven't needed to do this,,No - never used,I haven't had a situation where I needed it.,,No - never used,I haven't had a situation where it might be useful,,,,,,,
