rot,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area,personal_valid
It's okay to want the earth to thrive without humanity.,wanting the earth to thrive without humanity.,I take do everything in my power to make climate change worse because I believe it would be good if the planet finally purges us.,moral,low_agreement,1,0,5-25%,confessions,0
You shouldn't help out stray animals.,helping out stray animals.,He noticed the stray hanging around his apartment building.,moral,low_agreement,1,0,5-25%,rocstories,0
You should expel students that drink on college grounds.,expelling students that drink on college grounds.,I drank too much while being on university ground,moral,low_agreement,1,1,5-25%,confessions,0
It's understandable to have suicidal thoughts.,having suicidal thoughts.,For the past year I've been having suicidal thoughts,moral,low_agreement,1,-2,5-25%,confessions,0
"It's bad to eat living creatures, even if you clean them first.","eating living creatures, even if you clean them first",We had to clean them off before we ate them!,moral,low_agreement,1,-1,5-25%,rocstories,0
It is acceptable to choose not to get involved when you see a hurt person.,choosing not to get involved when you see a hurt person.,not helping an injured person,moral,low_agreement,1,-1,5-25%,amitheasshole,0
You should always tell the reason for your scars so you don't worry people.,Telling the reason for your scars so you don't worry people.,Search for Husband Stumbles Over Scars on Woman's Legs,moral,low_agreement,1,0,5-25%,dearabby,0
It is normal to not provide a gift to a wedding if you had to travel out of state to get attend the wedding.,not providing a gift to a wedding if you had to travel out of state to get attend the wedding.,not getting a wedding gift / cash,moral,low_agreement,1,0,5-25%,amitheasshole,0
It's okay to be resentful when your parents are poor.,being resentful when your parents are poor,Christmas came and his parents said they didn't have the money for it.,moral,low_agreement,1,0,5-25%,rocstories,0
It is bad to joke about death.,joking about death.,I kind of wish I was dead right now,moral,low_agreement,1,-1,5-25%,confessions,0
"If you're going to attack someone, you should do it with all your strength.",using all your strength if you are attacking someone,He tackled him with all of his might.,moral,low_agreement,1,0,5-25%,rocstories,0
It's clever to find ways around an employer's expectation that you work for the money they give you.,finding ways around an employer's expectation that you work for the money they give you.,"I type ""Work"" over and over again so people around my cubicle think I'm working",moral,low_agreement,1,1,5-25%,confessions,0
People will think you're a coward if you refuse to help others.,refusing to help others.,"When a man rushed toward him and asked for help, he refused.",moral,low_agreement,0,-1,<1%,rocstories,0
It's fine to cancel a contract.,canceling a contract.,He called the satellite company to cancel his contract.,moral,low_agreement,1,0,5-25%,rocstories,0
It's okay to raise your tenants' rent.,raising your tenants' rent.,"I raised rent on my tenants before leaving the country, without them knowing.",moral,low_agreement,1,0,5-25%,confessions,0
It's wrong to be cheap when it comes to entertainment.,being cheap when it comes to entertainment.,He was happy when he saw that Netflix was a fraction of the price too.,moral,low_agreement,1,-2,5-25%,rocstories,0
It is wrong to allow subway to ruin your life.,allowing subway to ruin your life.,Confession: Subway sandwiches are ruining my life,moral,low_agreement,1,-1,5-25%,confessions,0
You shouldn't reveal to someone why you're breaking up with them if the reasons may hurt their feelings.,revealing to someone why you're breaking up with them when the reasons may hurt their feelings.,letting' an ex-girlfriend see the list of reasons I wanted to break up,moral,low_agreement,1,-1,5-25%,amitheasshole,0
It's okay to pursue a mutual romantic interest if no one is harmed by it.,pursuing a mutual romantic interest if no one is harmed by it.,hooking up with a woman who had a bf,moral,low_agreement,1,0,5-25%,amitheasshole,0
It's wrong for people that care about each other to argue.,arguing with someone you care about,No Sweet Dreams for Couple After Ongoing Bedtime Dispute,moral,low_agreement,0,-1,<1%,dearabby,0
"If you see someone on the phone while driving, you should report them to the authorities.",reporting someone on the phone while driving to the authorities,I can't stop using phone while I'm driving. I know it's wrong because I hide my phone whenever I pass someone. I don't want them to catch me and report me or something.,moral,low_agreement,0,0,<1%,confessions,0
It's wrong to talk to your friends about sensitive topics.,talking to your friends about sensitive topics.,"saying ""I believe every woman should have the right to abortion but I would rather have a vasectomy than have my partner to abort my child unless there's danger to the mother's health"" when my friend asked my stance on abortion",moral,low_agreement,1,-1,5-25%,amitheasshole,0
It's wrong to wear jewelry other than your wedding ring when you get married.,wearing jewelry other than your wedding ring when you get married.,Bling on Bride's Finger Causes Husband Unease,moral,low_agreement,1,-1,5-25%,dearabby,0
It's wrong to use your phone in the bathroom.,using your phone in the bathroom.,asking my husband to stop taking his phone into the bathroom,moral,low_agreement,0,-1,<1%,amitheasshole,0
It's okay to feel hurt if someone thinks you're too dirty to be worthy of sleeping in their bed.,Feeling hurt because someone thinks you're too dirty to be worthy of sleeping in their bed.,not wanting to loan my bed to a random subleaser,moral,low_agreement,1,0,5-25%,amitheasshole,0
It's understandable to not want to talk to your significant other.,not wanting to talk to your significant other.,ghosting my gf,moral,low_agreement,0,0,<1%,amitheasshole,0
