action,situation,rot,experiment_condition,rating,llm_response_rot,llm_response_action_situation,prompt_condition,idx
Embarrassing a kid in good fun without taking it overboard.,Daughter Cringes When Mom Does Happy Dance in Public,It is okay to embarrass a kid in good fun without taking it overboard.,action_situation,3,,"While it may initially seem entertaining to embarrass one's child, it's essential to consider the child's feelings and the potential impacts on their self-esteem. A child's sense of self is fragile and developing; it can be unexpectedly shaken. What we view as fun-filled teasing can sometimes lead to unintentional emotional distress. The mother's lighthearted happy dance, though embarrassing for the daughter, doesn't pose any severe denigration or intended humiliation. It's essential we tread this line with care and respect, always prioritizing our children's emotional wellbeing over momentary amusement. Let's endorse positivity in each other's quirks and teach our children the value of self-expression.",Emotional,1
Being too sad to take on the responsibility of re-homing your pets.,Rehoming my wife's reptiles,It's okay if you are too sad to take on the responsibility of re-homing your pets.,action_situation,1,,"A score of 1 out 100 seems appropriate for not rehoming the reptiles due to excessive sadness. This score is justified from the standpoint of emotional resilience and the important distinction between circumstantial sorrow and dereliction of responsibility. As difficult as grief is, responsibility, especially when it concerns live beings dependent on our care, is not relieved by personal emotional struggle. The welfare of these pets must be prioritized, regardless of the emotional state. Hence the score of 1 indicates more of an emotional, temporary barrier that can be acknowledged, but not justifiably used as a complete impediment to such significant obligation.",Expert,2
"""Gaming"" online software.",I add one idle bot to every kahoot I join to prolong the kahoot.,"It's irresponsible to ""game"" online software.",action_situation,46,,"Assigning a 46/100 rating for the action means its alignment with the given situation is below average. While this is an online activity involving gaming software, it does not directly relate to the core action of the situation, which is adding an idle bot to every Kahoot game. This action is more focused on the overall gaming experience rather than a specific manipulation involving bots. This decision made by combining both software usage scenarios and expert understanding of the differences between general gaming and specific game manipulation, emphasizes the need for a pinpointed, accurate assessment of activities in unique circumstances. It's required to balance online behavior understanding with situation-specific insight to ensure accurate rating.",Expert,3
Calling someone weird if it is in a joking manner with a friend.,Calling him weird,It is okay to call someone weird if it is in a joking manner with a friend.,action_situation,7,,"Though the appropriateness of calling someone 'weird' in a joking manner may seem subjective, it's prudent to consider the impact this may have on the relationship. Playful banter within the context of a solid friendship is generally acceptable, hence the rating of 7/10. However, it's crucial to ensure that such comments are not misconstrued or damaging to the individual's self-esteem. As a communication and interpersonal relationships expert, I'd recommend using such remarks sparingly and with clear indication of jest, to maintain a positive and healthy rapport. Ultimately, what we perceive as harmless fun should not become a source of discomfort for others.",Expert,4
Shunning someone who hates people in your group.,I hate myself and everyone else.,It's acceptable to shun someone who hates people in your group.,action_situation,9,,"The given action - shunning someone who hates people in your group, is less effectual in the situation where 'I hate myself and everyone else.' In such a scenario, the person doing the hating shows signs of self-loathing and a general disdain for everyone else. Whether they are shunned or not might be less impactful for them as they already possess a bitter disregard for others. The 9/100 rating implies that shunning this person will have minimal effect on altering their negative disposition towards the group. So, while the action is theoretically possible, it isn't likely to yield a significant positive outcome, thus the low score.",Logical,5
Doing your own thing on your own time when you have a relationship so you don't smother the other person.,Treating my boyfriend gaming with his buddies the same as when I hang out with my friends,It's good to do your own thing on your own time when you have a relationship so you don't smother the other person.,action_situation,11,,"Giving your partner space and time to indulge in their interests is an essential part of a healthy relationship. The action of allowing your boyfriend to game with his buddies is equivalent to the freedom you should have when hanging out with your friends. This promotes a balanced relationship where both partners have the opportunity to engage in activities they enjoy, without feeling smothered or controlled. Instead of viewing this as inappropriate, it should be perceived as a respectful understanding of each other's individuality and personal space, hence, the appropriateness score should be far higher than 11.",Logical,6
Taking advantage of someone who isn't thinking clearly.,"Checking up on a drunk girl, making sure she didn't go home with a stranger",It is wrong to take advantage of someone who isn't thinking clearly.,action_situation,64,,"While it is absolutely commendable to ensure someone's safety, it is crucial to be aware of the boundaries and respect their dignity. In checking up on a drunk girl, one needs to exercise caution not to exploit her vulnerability. It is essential that we empathize, not only considering the immediate context, but also the potential trauma or fear she might experience. It is not about taking advantage of a situation, but to provide aid and promote a safe environment. An action earning a 64/100 rating represents the delicate balance between necessary intervention and possible infringement on personal space. It's a reminder to act responsibly.",Emotional,7
Dating a coworker.,Dating a girl who is also my subordinate and I am not sure that I want to continue with her.,It's frowned upon to date a coworker.,action_situation,39,,"Dating a coworker, especially one who is a subordinate, can be quite a tricky situation without clear boundaries. It poses potential risks like conflicts of interest, charges of favoritism, or even sexual harassment if not handled properly. In the given scenario, the uncertainty about continuing the relationship further complicates matters. Coworker relationships can cause distractions and emotional turbulence, which can adversely impact your professional life. Even if your particular workplace does not discourage such relationships, the inherent power dynamics could be problematic. Therefore, this action's appropriateness level is relatively low, at 39 out of 100.",Logical,8
Supporting students.,My chorus teacher said she had lost all respect for me.,Teachers are supposed to support students.,action_situation,16,,"The action of 'supporting students' in the given situation doesn't seem to really align, as the statement made by the teacher is negative. No form of support seems to be displayed in the scenario. The teacher verbally expressed disrespect towards the student, which is far from being supportive. However, a score of 16 out of 100 is given assuming that this harsh critique might be an extremely roundabout way of challenging the student to improve and regain her respect. So, while the support is indirect and not clearly visible, it can still be inferred to a small extent. Hence, it musters a score of 16.",Logical,9
Not letting your girlfriend hang out with your friends if she does something that disrespects your friends.,Not wanting my girlfriend to hang out with my friends,It's fine to not let your girlfriend hang out with your friends if she does something that disrespects your friends.,action_situation,88,,"Understanding the need to protect the bonds that exist between you and your friends is fundamental. Silently justifying an action like preventing your girlfriend from hanging out with your friends because of disrespectful incidents is not only about you, it's primarily about respecting your friends' feelings and comfort. The 88/100 rating indicates a high level of appropriateness, sympathising with the need to maintain harmony and respect in all relationships. It's essential to communicate your feelings, ensure respect is maintained, and, if needed, set boundaries. It's not about control, but about creating environments of respect and mutual understanding.",Emotional,10
Commandeering control of your friendships without ensuring that this is consensual between both parties.,Proactive Woman Takes Charge Of Friendships,It's rude to commandeer control of your friendships without ensuring that this is consensual between both parties.,action_situation,24,,"While it's admirable that the woman is proactive and wants to take control of her friendships, doing so without gaining the consent of both parties can lead to damage. Friendships should be based on mutual understanding, respect, and common ground. It is not entirely appropriate to control a friendship unilaterally. It may inadvertently lead to conflict, discomfort, and a deterioration in the quality of the friendship over time. Therefore, while her intentions may be good-natured, full consent is necessary to maintain a healthy bond, which reduces the appropriateness of her actions to around 24/100.",Logical,11
Ignoring someone who likes you.,Ghosting a man who's been into me for about two years,You shouldn't ignore someone who likes you.,action_situation,18,,"Ignoring someone who likes you, especially in the context of 'ghosting' a man who has been into you for two years, is considered largely inappropriate. Not only does this action cause needless and significant emotional harm, but it also shows a lack of empathy and respect towards the feelings of the other person. We all have a responsibility to communicate honestly and kindly, even in situations of unrequited affection. A more suitable action might be to ardently express your feelings and perspectives, providing closure for both parties. It demonstrates mature emotional intelligence and fosters respectful human relationships.",Emotional,12
Voting against your partner.,Wife's Reversal Leaves Man All Alone in Board Vote,It's wrong to vote against your partner.,action_situation,3,,"As an expert in social interaction, evaluating this action at 3 out of 100 makes sense considering the context of a board vote. A fundamental essence of partnership is to demonstrate support for each other, especially in high-stake situations. Voting against one's partner could be construed as a breach of trust and could threaten the core of their professional and personal relationships. It might negatively impact their cohesiveness as a team and erode trust - a vital ingredient in decision-making. Therefore, given the potential ramifications, a low score of 3 seems appropriate for the action 'Voting against your partner'.",Expert,13
"Roasting someone in a fun and lighthearted way, not hurtfully.",Roasting my friend way too hard,"Roasting someone is meant to be fun and lighthearted, not hurtful.",action_situation,10,,"While roasting usually involves comedic insults or jests at someone's expense, it should be carried out in a good-natured and light-hearted manner. Instead, in this situation, the roast has intensified to the point that it may be causing discomfort or embarrassment to the friend. Therefore, a score of 10 out of 100 seems appropriate considering the context. Here, the principle that underlies the process - a roast should be fun, not hurtful - has been disregarded. The exaggerated level of severity in the roast has curtailed the friendliness and amusement that should ideally permeate such interactions.",Logical,14
