rot,rot_clean,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area,domain_correct,valid,notes,diversity_score
It's bad to do things that are disgusting.,It's bad to do things that are disgusting.,doing things that are disgusting.,My brothers best friend masturbated in my room when I was 14 and asleep,moral,high_agreement,3,-1,75-90%,confessions,1,1,,0.8220577
It is rude to tow an elderly persons car out of annoyance.,It is rude to tow an elderly persons car out of annoyance.,towing an elderly persons car out of annoyance.,having an old man's car towed in the middle of winter,moral,high_agreement,3,-1,75-90%,amitheasshole,1,1,,0.8220577
It is understandable to be upset if your significant other is thinking of someone else.,It is understandable to be upset if your significant other is thinking of someone else.,being upset when your significant other is thinking of someone else.,thinking of a new relationship before the old one has ended,moral,high_agreement,4,0,>99%,amitheasshole,1,1,,0.8220577
It's good to raise awareness for certain medical diseases.,It's good to raise awareness for certain medical diseases.,raising awareness for certain medical diseases.,Survivor of Ovarian Cancer Speaks Out on 'Silent Killer',moral,high_agreement,3,1,75-90%,dearabby,1,1,,0.8220577
You have the right to tell your parent not to do drugs while taking care of your kids.,You have the right to tell your parent not to do drugs while taking care of your kids.,telling your parent not to do drugs while taking care of your kids.,telling my mom she cannot be under the influence of weed while caring for my young child,moral,high_agreement,4,2,>99%,amitheasshole,1,1,,0.8220577
It's bad to be a terrorist.,It's bad to be a terrorist.,being a terrorist.,I took an Islamic terrorist’s life,moral,high_agreement,3,-2,75-90%,confessions,1,1,,0.8220577
It's wrong to cheat on others.,It's wrong to cheat on others.,Cheating on others.,taking advantage of my girlfriend after she cheated on me,moral,high_agreement,4,-1,>99%,amitheasshole,1,1,,0.8220577
It's good to adopt children with no home.,It's good to adopt children with no home.,adopting children with no home.,Boy Given Up for Adoption Returns to Mixed Welcome,moral,high_agreement,4,2,>99%,dearabby,1,1,,0.8220577
It's bad to cheat on a spouse.,It's bad to cheat on a spouse.,cheating on a spouse.,Married &amp; going crazy over another woman,moral,high_agreement,3,-1,75-90%,confessions,1,1,,0.8220577
It is good to admit when you are wrong.,It is good to admit when you are wrong.,admitting when you are wrong.,"I am not really a bigot, but maybe I am, I don't know. Hopefully I am not",moral,high_agreement,3,1,75-90%,confessions,1,1,,0.8220577
It's wrong to relay a message you have taken for another person.,It's wrong to relay a message you have taken for another person.,relaying a message you have taken for another person.,forgetting to tell my dad his family tried to contact him,moral,low_agreement,0,-1,<1%,amitheasshole,1,1,,0.8632337
You shouldn't call the cops on people who park illegally.,You shouldn't call the cops on people who park illegally.,calling the cops on people who park illegally.,calling the cops on a gas car in an electric charging spot,moral,low_agreement,1,-1,5-25%,amitheasshole,1,1,,0.8632337
It's selfish to expect your husband to give you his entire estate.,It's selfish to expect your husband to give you his entire estate.,expecting your husband to give you his entire estate.,Bride Planning for Her Future Wants All of Husband's Estate,moral,low_agreement,1,-1,5-25%,dearabby,1,1,,0.8632337
It's wrong to have fantasies about dating autistic people.,It's wrong to have fantasies about dating autistic people.,having fantasies about dating autistic people.,"a celebrity i admire says she has asperger's. and because of that, i check out youtube vids on autism in women and secretly imagine dating them.",moral,low_agreement,0,-1,<1%,confessions,1,1,,0.8632337
It's wrong to delete your confessions.,It's wrong to delete your confessions.,deleting your confessions.,am going to delete after i post it i just want to get this out,moral,low_agreement,1,-1,5-25%,confessions,1,1,,0.8632337
Parents should involve children in their problems,Parents should involve children in their problems.,involving your children in your problems,I'm so tired of paying for my parents failed relationship,moral,low_agreement,1,0,5-25%,confessions,1,1,,0.8632337
It is selfish to not want a family.,It is selfish to not want a family.,not wanting a family.,not even bothering to entertain the idea of having kids,moral,low_agreement,1,-1,5-25%,amitheasshole,1,1,,0.8632337
It's understandable if you use a customer's deposit to pay your shareholders' dividends.,It's understandable if you use a customer's deposit to pay your shareholders' dividends.,using a customer's deposit to pay your shareholders' dividends.,Couple's Return of Deposit Pays Dividends to Others,moral,low_agreement,1,0,5-25%,dearabby,1,1,,0.8632337
People should be pure until they get married.,People should be pure until they get married.,being pure until you get married.,I sometimes dream about having a wholesome girlfriend.,moral,low_agreement,1,0,5-25%,confessions,1,1,,0.8632337
You can't expect your kids to be there for you during surgery.,You can't expect your kids to be there for you during surgery.,expecting your kids to be there for you during surgery.,not being at the hospital for my dad the moment of heart surgery,moral,low_agreement,1,-1,5-25%,amitheasshole,1,1,,0.8632337
It's good to get as much as you can out of your employer,It's good to get as much as you can out of your employer.,getting as much as you can out of your employer,I don't pay for water at work,moral,medium_agreement,2,0,50%,confessions,1,1,,0.8875184
You should be willing to help someone who is having mental problems.,You should be willing to help someone who is having mental problems.,helping someone who is having mental problems.,dumping a mentally ill girl,moral,medium_agreement,2,2,50%,amitheasshole,1,1,,0.8875184
It's okay to drink responsibly.,It's okay to drink responsibly.,drinking responsibly.,He decided to end his day with a visit to the bar.,moral,medium_agreement,2,0,50%,rocstories,1,1,,0.8875184
It's okay to be uncomfortable with your partner's behavior.,It's okay to be uncomfortable with your partner's behavior.,being uncomfortable with your partner's behavior.,being uncomfortable with my girlfriend hanging out with a guy friend she used to have a thing with,moral,medium_agreement,2,0,50%,amitheasshole,1,1,,0.8875184
It is smart to teach your children martial arts for protection.,It is smart to teach your children martial arts for protection.,teaching your children martial arts for protection,One day his mom enrolled him in Kendo.,moral,medium_agreement,2,0,50%,rocstories,1,1,,0.8875184
You should trust your partner's friends.,You should trust your partner's friends.,Trusting your partner's friends.,wanting to remain friends with a female friend that my GF does not trust,moral,medium_agreement,2,1,50%,amitheasshole,1,1,,0.8875184
People are expected to boycott companies who make social choices they don't agree with.,People are expected to boycott companies who make social choices they don't agree with.,people boycotting companies who make social choices they don't agree with.,eating Chick-fil-a despite being supportive of the LGBT+ community,moral,medium_agreement,2,0,50%,amitheasshole,1,1,,0.8875184
People might think you're a perv if you're into really older people.,People might think you're a perv if you're into really older people.,thinking you're a perv when you're into really older people.,I like older guys,moral,medium_agreement,2,0,50%,confessions,1,1,,0.8875184
It is rude to contradict yourself after saying something kind.,It is rude to contradict yourself after saying something kind.,contradicting yourself after saying something kind.,"I love my wife more than anything on earth, but...",moral,medium_agreement,2,-1,50%,confessions,1,1,,0.8875184
You shouldn't spend time with old flings if you're in a relationship.,You shouldn't spend time with old flings if you're in a relationship.,spending time with old flings if you're in a relationship.,not being cool with my boyfriend staying with his old fwb,moral,medium_agreement,2,-1,50%,amitheasshole,1,1,,0.8875184
It's ok to say no if a friend asks for money.,It's ok to say no if a friend asks for money.,saying no if a friend asks for money.,"I financially supported my best friend, I lost my debit card and now hes moving out.",personal-psychological,high_agreement,3,0,75-90%,confessions,1,1,,0.83684283
It's okay to feel calmer after writing down your thoughts.,It's okay to feel calmer after writing down your thoughts.,feeling calmer after writing down your thoughts.,I tried opening notepad and write whatever came to mind,personal-psychological,high_agreement,3,0,75-90%,confessions,1,1,,0.83684283
It's bad to let your friend drink toilet water.,It's bad to let your friend drink toilet water.,letting your friend drink toilet water.,i let my friend drink toilet water,personal-psychological,high_agreement,3,-1,75-90%,confessions,1,1,,0.83684283
It's good to want to honor your vows with your spouse.,It's good to want to honor your vows with your spouse.,wanting to honor your vows with your spouse,Marriage to Longtime Abuser Had Lasting Effect on Kids,personal-psychological,high_agreement,4,1,>99%,dearabby,1,1,,0.83684283
You should get some therapy if your parent just passed away.,You should get some therapy if your parent just passed away.,getting some therapy if your parent just passed away.,My dad died today. I'm not sad.,personal-psychological,high_agreement,3,1,75-90%,confessions,1,1,,0.83684283
It is important to have time to your self.,It is important to have time to your self.,having time to your self.,wanting to go out with my friends even though Im a married mom,personal-psychological,high_agreement,4,0,>99%,amitheasshole,1,1,,0.83684283
It's understandable to be upset if your friend pays more attention to his girlfriend than you.,It's understandable to be upset if your friend pays more attention to his girlfriend than you.,being upset if your friend pays more attention to his girlfriend than you.,getting a little upset every time my best friend and his girlfriend hang out with me,personal-psychological,high_agreement,3,0,75-90%,amitheasshole,1,1,,0.83684283
You should mind your own business.,You should mind your own business.,minding your own business.,telling some Contractor to fuck off and mind his own business,personal-psychological,high_agreement,3,0,75-90%,amitheasshole,1,1,,0.83684283
You should communicate with your spouse when you're tired of watching sports.,You should communicate with your spouse when you're tired of watching sports.,communicating with your spouse when you're tired of watching sports.,Compromise Is Best Game Plan for Marriage to Sports Fanatic,personal-psychological,high_agreement,3,0,75-90%,dearabby,1,1,,0.83684283
You shouldn't hurt a girl's feelings if they like you.,You shouldn't hurt a girl's feelings if they like you.,hurting a girl's feelings when they like you.,I made a girl who had a crush on me drop out of school after calling her fat.,personal-psychological,high_agreement,4,-2,>99%,confessions,1,1,,0.83684283
