rot,action,situation,ssl_domain,agreement_condition
It is ok to embarrass a kid in good fun without taking it overboard.,embarrassing a kid in good fun without taking it overboard.,Daughter Cringes When Mom Does Happy Dance in Public,moral,low_agreement
It's okay if you are too sad to take on the responsibility of re-homing your pets.,being too sad to take on the responsibility of re-homing your pets.,rehoming my wife's reptiles,moral,low_agreement
"It's irresponsible to ""game"" online software.","""gaming"" online software.",I add one idle bot to every kahoot I join to prolong the kahoot.,moral,low_agreement
It is ok to call someone weird if it is in a joking manner with a friend.,calling someone weird if it is in a joking manner with a friend.,calling him weird,moral,medium_agreement
It's acceptable to shun someone who hates people in your group.,shunning someone who hates people in your group.,I hate myself and everyone else.,moral,medium_agreement
It's good to do your own thing on your own time when you have a relationship so you don't smother the other person.,doing your own thing on your own time when you have a relationship so you don't smother the other person.,treating my bf gaming with his buddies the same as when I hang out with my friends,moral,medium_agreement
It is wrong to take advantage of someone who isn't thinking clearly.,taking advantage of someone who isn't thinking clearly.,"checking up on a drunk girl, making sure she didn't go home w a stranger",moral,high_agreement
It's frowned upon to date a coworker.,dating a coworker.,Dating girl who is also my subordinate and I am not sure that I want to continue with her.,moral,high_agreement
Teachers are supposed to support students.,supporting students.,My chorus teacher said she had lost all respect for me.,moral,high_agreement
It's fine to not let your girlfriend hang out with your friends if she does something that disrespects your friends.,not letting your girlfriend hang out with your friends if she does something that disrespects your friends.,not wanting my girlfriend to hang out with my friends,societal-conventional,low_agreement
It's rude to commander control of your friendships without ensuring that this is consensual between both parties.,commandeering control of your friendships without ensuring that this is consensual between both parties.,Proactive Woman Takes Charge Of Friendships,societal-conventional,low_agreement
You shouldn't ignore someone who likes you.,ignoring someone who likes you.,ghosting a man who's been into me for about two years,societal-conventional,low_agreement
It's wrong to vote against your partner.,voting against your partner.,Wife's Reversal Leaves Man All Alone in Board Vote,societal-conventional,medium_agreement
"Roasting someone is meant to be fun and lighthearted, not hurtful.","Roasting someone fun and lightheartedly, not hurtfully.",roasting my friend way too hard,societal-conventional,medium_agreement
You can't expect people to always look in your eyes when you talk to them.,looking in your eyes when you talk to them.,I don't look into people's eyes.,societal-conventional,medium_agreement
It is socially unacceptable to answer the door when not fully clothed.,answering the door when not fully clothed.,answering the Door for the Pizza Guy in my boxers,societal-conventional,high_agreement
It is good to congratulate your competitor whenever they win something.,congratulating your competitor whenever they win something.,feeling terrible for not winning award,societal-conventional,high_agreement
It's expected that you have to go through an application process to adopt someone.,going through an application process to adopt someone.,wanting to adopt my niece,societal-conventional,high_agreement
If your sister is not able to take care of her kids on her own and you no longer want to do it you need to find someone else to take care of them.,finding someone to take of your sister's kids when she is unable to take care of her kids on her own and you no longer want to do it,not wanting to take care of my sister's kids,personal-psychological,low_agreement
It is gross to sleep with your stepsisters best friend.,sleep with your stepsisters best friend.,sleeping with my stepsister's friend,personal-psychological,low_agreement
It is loving to allow your wife to wear whatever she wants in the bedroom.,allowing your wife to wear whatever she wants in the bedroom.,wanting my wife to wear lingerie in the bedroom,personal-psychological,low_agreement
Its best not to share personal feeling with strangers.,sharing personal feeling with strangers.,talking about my gender feelings,personal-psychological,medium_agreement
It is wrong to purposely try to be like your best friend.,purposely trying to be like your best friend,I am a shadow of my Bestfriend,personal-psychological,medium_agreement
You shouldn't be friends with your ex if they still have feelings for you.,being with your ex when they still have feelings for you.,I chat with my ex every few months and could probably still hit it.,personal-psychological,medium_agreement
It's understandable if you're suspicious when a widower in your family gets together with a widower soon after their spouse's died.,being suspicious when a widower in your family gets together with a widower soon after their spouse's died.,"Family Is Torn Apart When Widow, Widower Get Together",personal-psychological,high_agreement
You should try to understand the perspective of others.,understanding the perspective of others.,telling my sister she shouldnt be angry about waiting,personal-psychological,high_agreement
You should not sabotage your personal relationships.,sabotaging your personal relationships,"The love of my life ghosted me, and it’s my fault",personal-psychological,high_agreement
