rot,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area
It's wrong to know what death is really like.,knowing what death is really like.,I know what death is really like,moral,low_agreement,0.0,-1.0,<1%,confessions
It is bad to go to the zoo with someone if the zoo mistreats animals.,going to the zoo with someone if the zoo mistreats animals.,Rob and Sue went to the Zoo.,moral,low_agreement,1.0,-1.0,5-25%,rocstories
"People shouldn't compare their thoughts with those of others, as thoughts should be private.","comparing their thoughts with those of others, as thoughts should be private.",I always think the strangest stuff.,moral,low_agreement,0.0,-1.0,<1%,confessions
"If you need a ride home, you should hitchhike.","If you need a ride home, hitchhiking.",Man Who Helped Hitchikers Put His Life in Their Hands,moral,low_agreement,1.0,-1.0,5-25%,dearabby
It's expected a husband put his foot down when his wife is behaving improperly.,a husband putting his foot down when his wife is behaving improperly.,insisting my wife stop seeing her best friend and their kids,moral,low_agreement,1.0,0.0,5-25%,amitheasshole
It's understandable to feel angry enough that you want to strike a family member.,feeling angry enough that you want to strike a family member.,open palm slapping my dad in the face,moral,low_agreement,1.0,0.0,5-25%,amitheasshole
It's understandable if you snap at your friend when they are being distracting.,snap at your friend when they are being distracting.,She usually gets ready alone and found her friend to be distracting.,moral,low_agreement,1.0,0.0,5-25%,rocstories
It is wrong to cause harm to small insects.,causing harm to small insects.,I used to hurt bugs and little animals when I was younger.,moral,low_agreement,1.0,-2.0,5-25%,confessions
It's bad to dismiss someone when they're asking questions about how someone died.,Dismissing someone when they're asking questions about how someone died.,Old Friend Is Rebuked for Asking About Cause of Death,moral,low_agreement,0.0,1.0,<1%,dearabby
It's wrong to be gay just because you're in prison.,being gay just because you're in prison.,telling my friend in prison it's ok to be gay for the stay,moral,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's good to tell your roommate to get over something they don't like that you did.,telling your roommate to get over something they don't like that you did.,telling my roommate to get over my dishwashing,moral,low_agreement,1.0,1.0,5-25%,amitheasshole
It's wrong to have fantasies about dating autistic people.,having fantasies about dating autistic people.,"a celebrity i admire says she has asperger's. and because of that, i check out youtube vids on autism in women and secretly imagine dating them.",moral,low_agreement,0.0,-1.0,<1%,confessions
It's wrong to be in a hurry.,being in a hurry.,Billy has driven off with the gas nozzle still in his car.,moral,low_agreement,0.0,-1.0,<1%,rocstories
It's understandable if you're curious about someone's files when you're repairing their computer.,being curious about someone's files when you're repairing their computer.,He dropped his laptop with the repairman.,moral,low_agreement,1.0,0.0,5-25%,rocstories
It's wrong to leave your lover.,leaving your lover.,List of Warning Signs Gives 15 Reasons to Leave Your Lover,moral,low_agreement,1.0,-1.0,5-25%,dearabby
"If you're going to attack someone, you should do it with all your strength.",using all your strength if you are attacking someone,He tackled him with all of his might.,moral,low_agreement,1.0,0.0,5-25%,rocstories
It can be seen as dishonest to go by a different gender.,going by a different gender.,only using an alternate gendered persona online,moral,low_agreement,0.0,-1.0,<1%,amitheasshole
"If you feel like you never get anything back in return for all you've done, you should get some therapy.",getting some therapy.when you feel like you never get anything back in return for all you've done,I give my heart and soul into everything I do but I’m left with very little,moral,low_agreement,1.0,0.0,5-25%,confessions
It's wrong to still talk to your ex's.,still talking to your ex's.,still talking to my ex wife,moral,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's okay if you don't want your children to have a relationship with your parents.,not wanting your children to have a relationship with your parents.,raising my children in an unorthodox manner and not introducing them to my parents,moral,low_agreement,1.0,0.0,5-25%,amitheasshole
"It's acceptable to get high with friends, regardless of what the law says.","getting high with friends, regardless of what the law says","I'm 40, reasonably successful and I'm high the majority of the time.",moral,low_agreement,1.0,-1.0,5-25%,confessions
You shouldn't be with a partner that your child doesn't approve of.,being with a partner that your child doesn't approve of.,wanting my Mums partner to hurry up and die of cancer,moral,low_agreement,1.0,-1.0,5-25%,amitheasshole
It's not okay for others to not know about something they might think is important.,others to not knowing about something they might think is important.,Family Sweeps Teenage Suicide Attempt Under The Rug,moral,low_agreement,1.0,-1.0,5-25%,dearabby
If you cannot get someone to remove you from a contract you are expected to call an attorney.,calling an attorney when you cannot get someone to remove you from a contract,"She asked him to sign her off the lease, or there'd be no hope at all.",moral,low_agreement,1.0,0.0,5-25%,rocstories
It's okay to dislike people giving you charity.,disliking people giving you charity.,I hate accepting rides from friends,moral,low_agreement,1.0,0.0,5-25%,confessions
You have a right to think women are inferior if that's what you really believe.,thinking women are inferior when that's what you really believe.,i’m an egalitarian and i believe females are inferior to men,moral,medium_agreement,2.0,-1.0,50%,confessions
"It's good to discipline your pets, they will benefit from strong leadership.",disciplining your pets so they benefit from strong leadership.,not wanting/letting my dog lay all over me during a fucking car ride? he keeps moving around on me and can never find the most comfortable position,moral,medium_agreement,2.0,1.0,50%,amitheasshole
You should tell people that they are doing something wrong.,telling people that they are doing something wrong,I have been accused of consent violation and know i didn't do anything wrong,moral,medium_agreement,2.0,0.0,50%,confessions
It's wrong to play violent games with your friends.,playing violent games with your friends.,I love shooting dogs in front of my friends in videogames,moral,medium_agreement,2.0,-1.0,50%,confessions
It's not okay to look at something that should be a gift as a reason to bargin.,looking at something that should be a gift as a reason to bargin.,Couple Defines Their Marriage Long Before Wedding Date,moral,medium_agreement,2.0,-1.0,50%,dearabby
It's good to make your voice heard in the workplace.,Making your voice heard in the workplace.,"Afterwards, she insisted to her boss that they hire an exterminator.",moral,medium_agreement,2.0,0.0,50%,rocstories
It's wrong to go against your parent's wishes.,going against your parent's wishes.,taking my daughter to get her hair dyed against my wifes wish,moral,medium_agreement,2.0,-1.0,50%,amitheasshole
It is good to take help from wherever you can get it.,taking help from wherever you can get it.,It was actually very helpful and became part of her routine.,moral,medium_agreement,2.0,1.0,50%,rocstories
It's good to breed dogs.,breeding dogs,wanting to be a german Shepherd Dog breeder,moral,medium_agreement,2.0,0.0,50%,amitheasshole
People should turn in others they see breaking the law.,turning in people they see breaking the law.,I have 10+ parking tickets that I have never paid,moral,medium_agreement,2.0,0.0,50%,confessions
It's bad to be unhelpful.,being unhelpful.,I will NEVER help a republican with anything and neither should you.,moral,medium_agreement,2.0,-1.0,50%,confessions
You should be friends with people with mental disabilities.,being friends with people with mental disabilities.,not being excited about being partnered with a kid with down syndrome who I wasn't friends with in 6th grade,moral,medium_agreement,2.0,0.0,50%,amitheasshole
It's fine to enjoy any sexual fetish that makes you feel good.,enjoying any sexual fetish that makes you feel good.,I crossdress to feel beautiful,moral,medium_agreement,2.0,0.0,50%,confessions
It's OK to disagree with your parents.,disagreeing with your parents.,His parents however disapproved of all of his name suggestions.,moral,medium_agreement,2.0,0.0,50%,rocstories
business owners should pay their employees a living wage rather than having them rely on tips.,business owners paying their employees a living wage rather than having them rely on tips.,I only tip because people judge me if I don’t,moral,medium_agreement,2.0,0.0,50%,confessions
It is wrong to laugh at someone's misfortune.,laughing at someone's misfortune.,laughing at someone getting pulled over,moral,medium_agreement,2.0,-1.0,50%,amitheasshole
It's wrong to kill insects that are helpful to your plants.,killing insects that are helpful to your plants.,Hailey found a caterpillar in her garden.,moral,medium_agreement,2.0,-1.0,50%,rocstories
