rot,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area
"It's irresponsible to ""game"" online software.","""gaming"" online software.",I add one idle bot to every kahoot I join to prolong the kahoot.,moral,low_agreement,1,-1,5-25%,confessions
You shouldn't plant stuff to close to your house,planting stuff to close to your house,Katie planted a shrub in her yard.,moral,low_agreement,0,-1,<1%,rocstories
It's okay to fake liking your family.,faking liking your family.,I hate my mom even though I’m faking to like her,moral,low_agreement,1,-2,5-25%,confessions
It's wrong to keep portraits of an old wedding when you re-marry.,keeping portraits of an old wedding when you re-marry.,What to Do With Old Wedding Portraits,moral,low_agreement,1,-1,5-25%,dearabby
It's understood that people don't find larger people attractive and eschew taking pictures with them.,people not finding larger people attractive and eschewing taking pictures with them.,thinking that my SO doesn't value the time we spend together coz he doesnt take photos of us during special occasions but does when he's with his friends,moral,low_agreement,1,0,5-25%,amitheasshole
"If your mother deserves it, it is OK to be insensitive to her.",being insensitive to your mother when she deserves it,'being insensitive' and sounding angry to my mom and 'scaring' her away,moral,low_agreement,1,0,5-25%,amitheasshole
It's okay to keep people waiting if you're busy.,keeping people waiting when you're busy.,Lucy was waiting for her boyfriend tom.,moral,low_agreement,1,-1,5-25%,rocstories
It's fine to want friends when it's convenient for you.,wanting friends when it's convenient for you.,I only want friends when its convenient for me,moral,low_agreement,1,0,5-25%,confessions
It is ok to embarrass a kid in good fun without taking it overboard.,embarrassing a kid in good fun without taking it overboard.,Daughter Cringes When Mom Does Happy Dance in Public,moral,low_agreement,1,0,5-25%,dearabby
It's understandable if you don't want to hear about your friend's partner.,not wanting to hear about your friend's partner.,not caring about my friend's significant other,moral,low_agreement,1,0,5-25%,amitheasshole
You shouldn't be a parent if you're terminally ill.,being a parent if you're terminally ill.,denying my terminally ill wife the chance to be a mother,moral,low_agreement,1,-1,5-25%,amitheasshole
It's fine to live your life based on other people's wants.,living your life based on other people's wants.,My whole life is a facade of what people want and I dont know who I am,moral,low_agreement,1,-1,5-25%,confessions
Parents should involve children in their problems,"as a parent, involving children in your problems",I'm so tired of paying for my parents failed relationship,moral,low_agreement,0,-1,<1%,confessions
You aren't required to returns something you find.,returning something you find,"Overjoyed, Bob drove back to the barbershop to pick up his wallet.",moral,low_agreement,1,2,5-25%,rocstories
Expecting a woman to cover up in front of family is irrational.,Expecting a woman to cover up in front of family,Mom Lets It All Hang Out In Front Of Grown Sons,moral,low_agreement,1,1,5-25%,dearabby
It is OK to skip class sometimes.,skipping class sometimes.,John is happy that he attended class.,moral,low_agreement,1,0,5-25%,rocstories
It's okay if you are too sad to take on the responsibility of re-homing your pets.,being too sad to take on the responsibility of re-homing your pets.,rehoming my wife's reptiles,moral,low_agreement,1,0,5-25%,amitheasshole
It's good to wear a chastity cage if you want to remain a virgin.,wearing a chastity cage when you want to remain a virgin.,I wear a chastity cage and paint my nails,moral,low_agreement,0,1,<1%,confessions
It is okay if people say no to taking care of somebody in need.,people saying no to taking care of somebody in need.,expecting my partner to take care of me for more than 3 days,moral,low_agreement,1,0,5-25%,amitheasshole
You should judge someone based on their speech impediment.,judging someone based on their speech impediment.,being completely uninterested in a girl because of her speech impediment,moral,low_agreement,1,0,5-25%,amitheasshole
It is understandable to do bad things for money.,doing bad things for money.,I considered ruining a marriage for money.,moral,low_agreement,1,0,5-25%,confessions
You can find out things about other people by setting them up.,finding out things about other people by setting them up.,making a friend flirt with my ex's current bf to find out that he is cheating,moral,low_agreement,1,-2,5-25%,amitheasshole
It's fine to let an animal make you feel horrible.,letting an animal make you feel horrible.,I feel horrible because of a cat..,moral,low_agreement,1,0,5-25%,confessions
It's understandable to want to hit things when you are angry.,wanting to hit things when you are angry.,I threw my pillow and hit it hard.,moral,low_agreement,1,0,5-25%,rocstories
It's reasonable to not want to wash your hands if there is nothing to dry them with.,not wanting to wash your hands when there is nothing to dry them with.,I choose whether or not I wash my hands in public depending on the hand dryer available,moral,low_agreement,1,0,5-25%,confessions
It's good to do your own thing on your own time when you have a relationship so you don't smother the other person.,doing your own thing on your own time when you have a relationship so you don't smother the other person.,treating my bf gaming with his buddies the same as when I hang out with my friends,moral,medium_agreement,2,0,50%,amitheasshole
It's wrong to end a friendship.,ending a friendship.,ending a friendship after my friend got a teacher suspended for a month,moral,medium_agreement,2,-1,50%,amitheasshole
It's okay to leave your partner's house early if your parents say so.,leaving your partner's house early if your parents say so.,leaving girlfriends house early because of parents,moral,medium_agreement,2,0,50%,amitheasshole
