rot,rot_clean,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area,domain_correct,valid,notes,diversity_score
It's good to help others.,It's good to help others.,helping others.,"A person next to her was shoved and fell, and Ann reached to help him.",moral,high_agreement,3,1,75-90%,rocstories,1,1,,0.8500022
It is understandable to be upset if your significant other is thinking of someone else.,It is understandable to be upset if your significant other is thinking of someone else.,being upset when your significant other is thinking of someone else.,thinking of a new relationship before the old one has ended,moral,high_agreement,4,0,>99%,amitheasshole,1,1,,0.8500022
You have the right to tell your parent not to do drugs while taking care of your kids.,You have the right to tell your parent not to do drugs while taking care of your kids.,telling your parent not to do drugs while taking care of your kids.,telling my mom she cannot be under the influence of weed while caring for my young child,moral,high_agreement,4,2,>99%,amitheasshole,1,1,,0.8500022
It is rude to tow an elderly persons car out of annoyance.,It is rude to tow an elderly persons car out of annoyance.,towing an elderly persons car out of annoyance.,having an old man's car towed in the middle of winter,moral,high_agreement,3,-1,75-90%,amitheasshole,1,1,,0.8500022
It's bad to be a terrorist.,It's bad to be a terrorist.,being a terrorist.,I took an Islamic terrorist’s life,moral,high_agreement,3,-2,75-90%,confessions,1,1,,0.8500022
You should tell your partner if you're pregnant.,You should tell your partner if you're pregnant.,telling your partner when you're pregnant.,She tells Keith he is going to have a child!,moral,high_agreement,3,0,75-90%,rocstories,1,1,,0.8500022
You shouldn't judge yourself or others based on height.,You shouldn't judge yourself or others based on height.,judging yourself or others based on height.,Hating myself because of my height.,moral,high_agreement,3,-1,75-90%,confessions,1,1,,0.8500022
It's good to raise awareness for certain medical diseases.,It's good to raise awareness for certain medical diseases.,raising awareness for certain medical diseases.,Survivor of Ovarian Cancer Speaks Out on 'Silent Killer',moral,high_agreement,3,1,75-90%,dearabby,1,1,,0.8500022
It's wrong to not pay back money you've borrowed.,It's wrong to not pay back money you've borrowed.,not paying back money you've borrowed.,Teen Should Go On Strike Until Brother Pays What He Owes,moral,high_agreement,4,-2,>99%,dearabby,1,1,,0.8500022
It's okay to like a celebrity you really admire.,It's okay to like a celebrity you really admire.,liking a celebrity you really admire.,I can't stop thinking about how much I love Pual Rudd,moral,high_agreement,3,0,75-90%,confessions,1,1,,0.8500022
It's wrong to watch rated R movies if you're underage.,It's wrong to watch rated R movies if you're underage.,watching rated R movies if you're underage.,i'm going to watch IT 2 by myself on Monday.,moral,low_agreement,1,0,5-25%,confessions,1,1,,0.9021393
It's understandable if you use a customer's deposit to pay your shareholders' dividends.,It's understandable if you use a customer's deposit to pay your shareholders' dividends.,using a customer's deposit to pay your shareholders' dividends.,Couple's Return of Deposit Pays Dividends to Others,moral,low_agreement,1,0,5-25%,dearabby,1,1,,0.9021393
It's kind to forgive people for rioting.,It's kind to forgive people for rioting.,forgiving people for rioting,I proudly wear the badge of fascism that the western world has put on me as an officer of the Hong Kong Police Force. I forgive the rioters.,moral,low_agreement,0,0,<1%,confessions,1,1,,0.9021393
It's understandable to be desperate enough to seek out organs on the black market.,"It's okay, if you are desperate enough, to seek out organs on the black market.",being desperate enough to seek out organs on the black market.,I Sell The Organs Of People I Operate On,moral,low_agreement,0,0,<1%,confessions,1,1,"Changed ""understandable if"" to ""okay if""",0.9021393
You shouldn't avoid paying something because of a clerical mistake.,You shouldn't avoid paying something because of a clerical mistake.,avoiding paying something because of a clerical mistake.,disputing rather than paying a debt over a clerical mistake,moral,low_agreement,0,-1,<1%,amitheasshole,1,1,,0.9021393
People should be pure until they get married.,People should be pure until they get married.,being pure until you get married.,I sometimes dream about having a wholesome girlfriend.,moral,low_agreement,1,0,5-25%,confessions,1,1,,0.9021393
Admitting you do not know someones name is rude.,Admitting you do not know someones name is rude.,Admitting you do not know someones name,He admitted he did not remember her name.,moral,low_agreement,1,-1,5-25%,rocstories,1,1,,0.9021393
You can't expect your kids to be there for you during surgery.,You can't expect your kids to be there for you during surgery.,expecting your kids to be there for you during surgery.,not being at the hospital for my dad the moment of heart surgery,moral,low_agreement,1,-1,5-25%,amitheasshole,1,1,,0.9021393
It's wrong to kiss a lesbian if you're not a lesbian.,It's wrong to kiss a lesbian if you're not a lesbian.,kissing a lesbian when you're not a lesbian.,kissing a lesbian,moral,low_agreement,1,-1,5-25%,amitheasshole,1,1,,0.9021393
Parents should involve children in their problems,Parents should involve children in their problems.,involving your children in your problems,I'm so tired of paying for my parents failed relationship,moral,low_agreement,1,0,5-25%,confessions,1,1,,0.9021393
You should lose it on people who hurt their kids.,You should lose it on people who hurt their kids.,losing it on people who hurt their kids.,I saw this guy hold a toddler by the arm and drag her across the floor and I lost it...,moral,medium_agreement,2,0,50%,confessions,1,1,,0.88180006
It's okay to believe homosexuality is wrong if you're a Christian.,It's okay to believe homosexuality is wrong if you're a Christian.,believing homosexuality is wrong when you're a Christian.,ignoring and blocking a christian boy for saying he believes homosexuality is wrong,moral,medium_agreement,2,0,50%,amitheasshole,1,1,,0.88180006
You can't expect someone to pay off their loans immediately.,You can't expect someone to pay off their loans immediately.,paying off loans immediately,"expecting my girlfriend to pay the debt she has accumulated with payday loans immidiately instead of their ""usual monthly payments""",moral,medium_agreement,2,0,50%,amitheasshole,1,1,,0.88180006
People sometimes enjoy getting revenge on their supervisors.,People sometimes enjoy getting revenge on their supervisors.,getting revenge on supervisors.,ratting out my supervisor,moral,medium_agreement,2,-1,50%,amitheasshole,1,1,,0.88180006
People might think you're a perv if you're into really older people.,People might think you're a perv if you're into really older people.,thinking you're a perv when you're into really older people.,I like older guys,moral,medium_agreement,2,0,50%,confessions,1,1,,0.88180006
You shouldn't keep a package that was refunded.,You shouldn't keep a package that was refunded.,keeping a package that was refunded.,keeping a parcel that was actually refunded,moral,medium_agreement,2,-1,50%,amitheasshole,1,1,,0.88180006
It is smart to teach your children martial arts for protection.,It is smart to teach your children martial arts for protection.,teaching your children martial arts for protection,One day his mom enrolled him in Kendo.,moral,medium_agreement,2,0,50%,rocstories,1,1,,0.88180006
It is mean to refuse your homeless friend a place to stay.,It is mean to refuse your homeless friend a place to stay.,refusing your homeless friend a place to stay.,not letting homeless friend stay over anymore,moral,medium_agreement,2,-1,50%,amitheasshole,1,1,,0.88180006
It's good to get as much as you can out of your employer,It's good to get as much as you can out of your employer.,getting as much as you can out of your employer,I don't pay for water at work,moral,medium_agreement,2,0,50%,confessions,1,1,,0.88180006
People are expected to boycott companies who make social choices they don't agree with.,People are expected to boycott companies who make social choices they don't agree with.,people boycotting companies who make social choices they don't agree with.,eating Chick-fil-a despite being supportive of the LGBT+ community,moral,medium_agreement,2,0,50%,amitheasshole,1,1,,0.88180006
It's okay to want to keep some information private.,It's okay to want to keep some information private.,wanting to keep some information private.,My older sister molested me and I think I'm okay with it.,personal-psychological,high_agreement,3,0,75-90%,confessions,1,1,,0.83743227
You should get some therapy if your parent just passed away.,You should get some therapy if your parent just passed away.,getting some therapy if your parent just passed away.,My dad died today. I'm not sad.,personal-psychological,high_agreement,3,1,75-90%,confessions,1,1,,0.83743227
You shouldn't hurt a girl's feelings if they like you.,You shouldn't hurt a girl's feelings if they like you.,hurting a girl's feelings when they like you.,I made a girl who had a crush on me drop out of school after calling her fat.,personal-psychological,high_agreement,4,-2,>99%,confessions,1,1,,0.83743227
You should communicate with your spouse when you're tired of watching sports.,You should communicate with your spouse when you're tired of watching sports.,communicating with your spouse when you're tired of watching sports.,Compromise Is Best Game Plan for Marriage to Sports Fanatic,personal-psychological,high_agreement,3,0,75-90%,dearabby,1,1,,0.83743227
It's good to be self-sufficient.,It's good to be self-sufficient.,being self-sufficient.,His girlfriend told him she could fix it.,personal-psychological,high_agreement,3,0,75-90%,rocstories,1,1,,0.83743227
