rot,action,situation,ssl_domain,agreement_condition,rot-agree,action-moral-judgment,agreement_label,area
You should always correct a cashier if they make a mistake in your favor.,correcting a cashier if they make a mistake in your favor.,"When she got to the cashier to pay, her order was already paid for.",moral,high_agreement,3.0,0.0,75-90%,rocstories
It's wrong to act rudely toward mentally challenged folks.,acting rudely toward mentally challenged folks.,I think mentally handicapped people are funny and I just cant control my laughter,moral,high_agreement,4.0,-2.0,>99%,confessions
It's nice to share things with your friends.,sharing things with your friends.,He showed it to all of his friends.,moral,high_agreement,3.0,1.0,75-90%,rocstories
It's rude to bully other kids.,bullying other kids,HE would treat them like dirt and take away their toys.,moral,high_agreement,4.0,-2.0,>99%,rocstories
You shouldn't stare at women's butts.,staring at women's butts.,I obsess over staring at hot women's butts,moral,high_agreement,3.0,-1.0,75-90%,confessions
Honesty is expected in relationships.,being honest in relationships.,refusing to help/support my friend with her breast explant surgery if she refuses to tell her fiance about it,moral,high_agreement,4.0,1.0,>99%,amitheasshole
You should always give family a chance to change.,giving family a chance to change.,treating my Godmother like my real mother and wanting to cut off ties with my real mom,moral,high_agreement,3.0,0.0,75-90%,amitheasshole
It's okay to put your child's safety before your family.,putting your child's safety before your family.,Mom Puts Daughter's Safety Above Family Reconciliation,moral,high_agreement,4.0,0.0,>99%,dearabby
It's good to want to do things to help someone.,wanting to do things to help someone.,Family's Aggressive Action Rescues Dad From Trickster,moral,high_agreement,4.0,1.0,>99%,dearabby
It is wrong to be addicted to a substance.,being addicted to a substance.,Addicted to the Juul,moral,high_agreement,3.0,-1.0,75-90%,confessions
It's good to get someone's phone number if you need to contact them.,getting someone's phone number when you need to contact them.,The neighbor saw him moving and got his phone number.,moral,high_agreement,3.0,1.0,75-90%,rocstories
It's wrong to covet another person's partner.,coveting another person's partner.,I'm in love with my best friends wife,moral,high_agreement,3.0,-1.0,75-90%,confessions
You should always help out people that are struggling in life.,always helping out people that are struggling in life.,"Widow With Aids Struggles With Anger, Secrecy and Fear",moral,high_agreement,3.0,0.0,75-90%,dearabby
It's bad to let a racist colleague do evil things while you stand by.,letting a racist colleague do evil things while you stand by.,allowing my racist colleague to tamper with the meat,moral,high_agreement,4.0,-2.0,>99%,amitheasshole
It's bad to not forgive someone after years.,not forgiving someone after years,trying to have my ex forgive and forget three years ago so I can comfortably go back to my hometown,moral,high_agreement,3.0,-1.0,75-90%,amitheasshole
You should fire someone that serves contaminated food to people.,firing someone that serves contaminated food to people,I served contaminated cake to 40+ people.,moral,high_agreement,4.0,0.0,>99%,confessions
It's good to find the perfect gift for someone.,finding the perfect gift for someone.,Natasha had looked for weeks to find the perfect gift for her sister.,moral,high_agreement,3.0,1.0,75-90%,rocstories
It is wrong to abandon people.,abandoning people.,abandoning my family,moral,high_agreement,4.0,-2.0,>99%,amitheasshole
It's rude to show up late for dinner.,showing up late for dinner.,Max got in trouble when he showed up for dinner.,moral,high_agreement,3.0,-1.0,75-90%,rocstories
It's good to call people to get problems fixed.,calling people to get problems fixed.,He called his bank to have the problem resolved.,moral,high_agreement,3.0,1.0,75-90%,rocstories
It's okay to wear girl's underwear.,wearing girl's underwear.,I use my wife’s underwear after she goes to dleep,moral,low_agreement,1.0,-1.0,5-25%,confessions
It's understandable if you resort to criminal activities in order to sustain yourself.,resorting to criminal activities in order to sustain yourself.,Education Is the First Step to Leaving a Life of Crime,moral,low_agreement,1.0,0.0,5-25%,dearabby
It's understandable to want to cheat to keep from failing a test.,wanting to cheat to keep from failing a test.,So I used his answers to make a good grade after my mind went blank.,moral,low_agreement,1.0,0.0,5-25%,rocstories
You shouldn't feel guilty over other people's misfortunes.,feeling guilty over other people's misfortunes.,Family's Dysfunction Weighs Heavily on Woman's Shoulders,moral,low_agreement,1.0,-1.0,5-25%,dearabby
"If you keep having fantasies of your friend, you should get some help.",getting some help when having fantasies of your friend,I fantasize about my online texting friend,moral,low_agreement,1.0,0.0,5-25%,confessions
Promiscuous behavior is frowned on by many people.,being promiscuous,getting mad at my mom for having a fuck buddy,moral,low_agreement,1.0,-1.0,5-25%,amitheasshole
