action,situation,rot,experiment_condition,rating,llm_response_rot,llm_response_action_situation,prompt_condition,idx
Embarrassing a kid in good fun without taking it overboard.,Daughter Cringes When Mom Does Happy Dance in Public,It is okay to embarrass a kid in good fun without taking it overboard.,rot,70,"Embarrassing a child in good fun can be instrumental in teaching them the ability to laugh at themselves and not take life too seriously. This approach can help children develop resilience, humor, and perspective, key traits that can make them better equipped to face life's ups and downs. As long as it is done lovingly, not excessively, and never in a way that could cause real harm or trauma, a bit of gentle teasing can be a healthy and valuable part of a child's upbringing. Therefore, the ""rule of thumb"" seems reasonable and well-intended, with the child's best interests in mind.",,Logical,1
Being too sad to take on the responsibility of re-homing your pets.,Rehoming my wife's reptiles,It's okay if you are too sad to take on the responsibility of re-homing your pets.,rot,8,"The adage 'It's okay if you are too sad to take on the responsibility of re-homing your pets' reflects the profound emotional distress often faced during separation from pets, making it fairly accurate. However, it fails to consider the ethical responsibilities of pet ownership. As an animal welfare expert and psychologist, I vouch that while emotional turmoil is valid, it's crucial to ensure appropriate care and safe shelter for pets. The onus lies on pet owners to put their pets' best interest first during such circumstances. Hence, emotional hardship should ideally not deter the commitment to re-home them properly if necessary.",,Expert,2
"""Gaming"" online software.",I add one idle bot to every kahoot I join to prolong the kahoot.,"It's irresponsible to ""game"" online software.",rot,95,"""Gaming"" online software is not merely a harmless pastime; it's irresponsible and an affront to the hard work and dedication that developers put into creating these platforms. Just as we wouldn't condone cheating in a brick-and-mortar setting, we should uphold the same standards in the digital world. Moreover, it often results in negative user experience for others, ruining the very essence of fair play and enjoyment that online platforms are meant to provide. Irresponsibility on your part could mean disappointment, frustration, or even loss of opportunities for someone else. Let's treat online software and its users with respect and integrity, just as we'd wish to be treated ourselves.",,Emotional,3
Calling someone weird if it is in a joking manner with a friend.,Calling him weird,It is okay to call someone weird if it is in a joking manner with a friend.,rot,97,"Friendships often thrive on good-natured humor, bonding through playful banter and light-hearted jokes. Demonstrating a level of comfort that includes labeling each other as 'weird', while the underlying intent being playful, can deepen these bonds. Communicating in this fashion exhibits a mutual understanding and shared humor, allowing friends to embrace each other's quirks and differences. It reveals acceptance, love, and understanding, turning 'weird' into a heartwarming testament to their close-knit relationship. This rule should be considered 97% truthful due to the rare instances where the joke may be received unfavorably, reminding us of the need for empathy and respect even in jest.",,Emotional,4
Shunning someone who hates people in your group.,I hate myself and everyone else.,It's acceptable to shun someone who hates people in your group.,rot,30,"The rule of thumb, 'It's acceptable to shun someone who hates people in your group' resonates with the principle of group cohesion and protection. As social beings, we naturally form alliances for various reasons – comfort, safety, or shared interests. The harmony of these groups can be disrupted by hatred or bigotry. This rule does not promote exclusivity, but rather, prioritizes the wellbeing of the group. Shunning, in this context, is a non-violent, non-aggressive response to someone who threatens the unity and stability of the group with hate. It can be seen as a necessary measure for self-preservation and maintaining psychological wellness within the group.",,Logical,5
Doing your own thing on your own time when you have a relationship so you don't smother the other person.,Treating my boyfriend gaming with his buddies the same as when I hang out with my friends,It's good to do your own thing on your own time when you have a relationship so you don't smother the other person.,rot,39,"Maintaining individual interests and activities within a relationship can contribute positively to the health of the relationship. This rule of thumb argues that individuality fosters growth, thereby enhancing mutual respect and understanding within the relationship. Spending every waking hour together can breed contempt and there's a danger of pressuring the partner to adopt one's interests, which compromises individuality. On the other hand, having separate hobbies or interests mostly enriches conversations, promotes self-improvement, and allows some breathing space. It nurtures individual identity and self-confidence which leads to a more balanced relationship. Therefore, this rule of thumb promotes a healthy relationship while retaining personal growth.",,Logical,6
Taking advantage of someone who isn't thinking clearly.,"Checking up on a drunk girl, making sure she didn't go home with a stranger",It is wrong to take advantage of someone who isn't thinking clearly.,rot,9,"Abusing someone's compromised cognitive state fundamentally breaches ethical ground rules of respect, fairness, and dignity. The American Psychological Association's code of conduct highlights the necessity for consent and physical/mental capacity. If we exploit someone when they are mentally impaired, we strip their basic right to informed decision making. It fosters ruthless opportunism and undermines mutual trust in societal interactions. Therefore, the moral weight of not taking advantage of someone's impaired reasoning isn't just a rule of thumb, it's a principle standing at the core of human decency that should be unequivocal in its adherence for maintaining ethical integrity.",,Expert,7
Dating a coworker.,Dating a girl who is also my subordinate and I am not sure that I want to continue with her.,It's frowned upon to date a coworker.,rot,75,"As a Human Resource professional with extensive experience on workplace dynamics, it's noteworthy to articulate that dating a coworker can lead to significant complications. Office romances often blur professional and personal boundaries, leading to potential perceived favoritism or conflicts of interest. Furthermore, in cases of breakups, the personal fallout tends to spill onto the professional realm, causing discomfort for other employees or affecting productivity. Companies across the globe are also implementing stringent policies against inter-office dating to safeguard against potential sexual harassment complaints. Although it isn't an absolute rule since successful office relationships do exist, the general consensus is typically cautionary.",,Expert,8
Supporting students.,My chorus teacher said she had lost all respect for me.,Teachers are supposed to support students.,rot,50,"The principle that teachers should support students is fundamentally truthful, embodying the ethos of education. First, the pedagogical authority of teachers requires them to navigate learners through the process of knowledge acquisition, hence acting as supportive pillars in this quest. Second, Pinker et al. (2019) in their ground-breaking research, underscore the need for teacher-student relationships to transcend beyond academic boundaries, extending to emotional and personal mentoring. This relationship necessitates goodwill, mutual respect, and essentially, support. Therefore, the rule accurately represents educators' roles, underscoring the indispensability of their supportive capacities in shaping holistic, well-grounded learners.",,Expert,9
Not letting your girlfriend hang out with your friends if she does something that disrespects your friends.,Not wanting my girlfriend to hang out with my friends,It's fine to not let your girlfriend hang out with your friends if she does something that disrespects your friends.,rot,48,"Human connections and respect are fundamental in our world. Consider a scenario where your girlfriend does something that disrespects your friends. It's safe to say that your ordeals will spark a discord between your emotional attachment to her and your childhood loyalty towards your friends. Figuratively, it's like being caught between a rock and a hard place. However, respect is a two-way street. Having her continue hanging out with your friends with unabated disrespect is like pushing a poisoned apple into the group. It's fine, possibly even commendable, to prioritize respect and social harmony, hence limiting her interactions until the situation improves.",,Emotional,10
